Date,PP01,TX01
2001-11-20,0.0,0,22.341288778168185
2001-11-21,0.6207745273054972,1,18.72362279903375
2001-11-22,1.0143597105230333,1,18.24969951516157
2001-11-23,0.0,0,20.09456565463509
2001-11-24,19.894570838651745,1,15.786992780787468
2001-11-25,0.02098709123589838,1,19.377122536643906
2001-11-26,0.0,0,21.504931612311196
2001-11-27,0.0,0,21.95192286426002
2001-11-28,0.0,0,20.933689376805226
2001-11-29,0.0,0,19.807343577198708
2001-11-30,0.0,0,19.801620554902776
2001-12-01,0.0,0,18.50994853489697
2001-12-02,0.0,0,18.949231921303053
2001-12-03,0.0,0,19.631262234007817
2001-12-04,0.0,0,22.525417548609987
2001-12-05,0.0,0,19.63260653338812
2001-12-06,0.0,0,19.737203343569348
2001-12-07,0.0,0,18.014957382217784
2001-12-08,0.0,0,17.749633520674227
2001-12-09,0.0,0,16.7156141525817
2001-12-10,0.0,0,19.285075873455234
2001-12-11,15.447102999969779,1,15.907857473182363
2001-12-12,3.906797260706031,1,13.882187088641214
2001-12-13,0.5067334324636306,1,15.505128676445864
2001-12-14,0.0,0,17.361434282753873
2001-12-15,0.0,0,16.733403186897124
2001-12-16,0.0,0,14.478778593893653
2001-12-17,0.0,0,16.845551469358206
2001-12-18,0.0,0,17.177559444872127
2001-12-19,0.0,0,18.2690125993267
2001-12-20,0.0,0,20.956726815435584
2001-12-21,0.0,0,19.050877931916183
2001-12-22,0.0,0,16.75561164648601
2001-12-23,0.0,0,14.901433030957739
2001-12-24,0.0,0,16.5289637654561
2001-12-25,0.0,0,17.287677280367593
2001-12-26,0.0,0,17.362107165920197
2001-12-27,0.0,0,14.916412572424374
2001-12-28,1.0714260806802798,1,12.194877336090748
2001-12-29,5.554515529022086,1,11.585801159580635
2001-12-30,13.17641852232117,1,10.715895885984079
2001-12-31,10.694191227294633,1,14.882621145636225
2001-01-01,1.3355199707144403,1,13.343304145330228
2001-01-02,0.008442457090864226,1,14.863937836603933
2001-01-03,16.07920160068017,1,10.468910013628161
2001-01-04,27.65670153503595,1,14.593211857099513
2001-01-05,5.294861250868449,1,12.533589758341503
2001-01-06,1.4405043355946616,1,16.253978276211978
2001-01-07,7.957582024161287,1,14.202724337031643
2001-01-08,30.996648788832548,1,14.579219455606482
2001-01-09,12.526169776728997,1,13.597943205123327
2001-01-10,2.4012807445248043,1,11.821615883327915
2001-01-11,11.149641395554166,1,13.090787615401037
2001-01-12,0.0,0,16.170683837638695
2001-01-13,0.0,0,16.471934873793177
2001-01-14,0.0,0,15.96866047410658
